Date,Ticker,Adj Close,Close,High,Low,Open,Volume,Sentiment Negative,Sentiment Neutral,Sentiment Positive
2022-03-16,BMRI.JK,3434.225830078125,3975.0,4025.0,3900.0,3900.0,291909800,0,0,2
2022-03-16,BBRI.JK,4153.04736328125,4650.0,4660.0,4610.0,4650.0,226817000,0,1,0
2022-03-16,BBCA.JK,7672.90283203125,8200.0,8275.0,8075.0,8275.0,149761300,0,1,1
2022-03-15,BBRI.JK,4117.32177734375,4610.0,4640.0,4530.0,4550.0,357755700,0,3,0
2022-03-15,BBCA.JK,7626.11572265625,8150.0,8200.0,8075.0,8150.0,111214500,0,1,1
2022-03-15,BDMN.JK,2063.29541015625,2300.0,2370.0,2290.0,2350.0,2221500,1,0,0
2022-03-15,BMRI.JK,3358.629638671875,3887.5,3937.5,3887.5,3900.0,146735400,0,1,0
2022-03-14,BMRI.JK,3347.830322265625,3875.0,3912.5,3812.5,3825.0,173513400,0,1,0
2022-03-14,BBRI.JK,4036.9404296875,4520.0,4540.0,4410.0,4440.0,212052100,0,3,2
2022-03-14,BBCA.JK,7555.93701171875,8075.0,8100.0,7950.0,8050.0,78432100,0,1,1
2022-03-14,BDMN.JK,2108.149658203125,2350.0,2390.0,2330.0,2360.0,1259200,1,0,0
2022-03-11,BBRI.JK,3929.764892578125,4400.0,4440.0,4370.0,4400.0,275965300,0,1,0
2022-03-11,BBCA.JK,7438.97265625,7950.0,7950.0,7725.0,7725.0,61053900,0,1,0
2022-03-11,BMRI.JK,3304.63232421875,3825.0,3862.5,3800.0,3862.5,122401600,0,0,1
2022-03-11,BDMN.JK,2108.149658203125,2350.0,2350.0,2310.0,2320.0,1810700,1,0,0
2022-03-10,BBCA.JK,7415.57958984375,7925.0,7975.0,7800.0,7925.0,86484000,0,1,0
2022-03-10,BMRI.JK,3315.43212890625,3837.5,3875.0,3800.0,3850.0,105803000,0,0,1
2022-03-10,BBRI.JK,3925.96826171875,4570.0,4640.0,4510.0,4640.0,225575800,0,1,5
2022-03-10,BDMN.JK,2081.2373046875,2320.0,2320.0,2290.0,2310.0,940600,1,0,0
2022-03-09,BBCA.JK,7345.400390625,7850.0,7950.0,7650.0,7700.0,132814500,0,1,0
2022-03-09,BDMN.JK,2063.29541015625,2300.0,2310.0,2270.0,2280.0,2296400,1,0,0
2022-03-09,BMRI.JK,3293.8330078125,3812.5,3862.5,3787.5,3787.5,115109200,0,1,0
2022-03-09,BBRI.JK,3925.96826171875,4570.0,4590.0,4500.0,4530.0,191967100,0,1,0
2022-03-08,BMRI.JK,3261.4345703125,3775.0,3850.0,3775.0,3812.5,104072200,0,2,0
2022-03-08,BBCA.JK,7158.25634765625,7650.0,7850.0,7650.0,7700.0,119256500,0,0,4
2022-03-08,BBRI.JK,3805.69775390625,4430.0,4560.0,4430.0,4500.0,214870200,0,0,1
2022-03-08,BDMN.JK,2045.3536376953125,2280.0,2320.0,2280.0,2320.0,4200400,1,0,0
2022-03-07,BBRI.JK,3883.014404296875,4520.0,4630.0,4520.0,4580.0,224515800,0,2,0
2022-03-07,BDMN.JK,2081.2373046875,2320.0,2370.0,2310.0,2360.0,3374200,1,0,0
2022-03-07,BBCA.JK,7205.04296875,7700.0,7850.0,7700.0,7800.0,130990900,1,0,0
2022-03-07,BMRI.JK,3261.4345703125,3775.0,3812.5,3750.0,3775.0,137667600,0,2,0
2022-03-04,BDMN.JK,2117.120361328125,2360.0,2390.0,2360.0,2380.0,1626300,1,0,0
2022-03-04,BBCA.JK,7392.1865234375,7900.0,8025.0,7900.0,7975.0,132983400,1,0,0
2022-03-04,BMRI.JK,3304.63232421875,3825.0,3862.5,3800.0,3850.0,104914600,0,2,0
2022-03-04,BBRI.JK,4011.875732421875,4670.0,4730.0,4610.0,4720.0,292022600,0,0,2
2022-03-02,BMRI.JK,3293.8330078125,3812.5,3862.5,3775.0,3825.0,110824000,0,2,0
2022-03-02,BBRI.JK,3917.37744140625,4560.0,4690.0,4550.0,4680.0,186635200,0,0,3
2022-03-02,BBCA.JK,7462.365234375,7975.0,8225.0,7975.0,8225.0,100301000,3,0,0
2022-03-02,BDMN.JK,2135.062255859375,2380.0,2440.0,2380.0,2410.0,1081500,1,0,0
2022-03-01,BBCA.JK,7532.54443359375,8050.0,8175.0,8000.0,8000.0,136616800,0,2,0
2022-03-01,BMRI.JK,3304.63232421875,3825.0,3925.0,3825.0,3837.5,149532200,0,2,0
2022-03-01,BBRI.JK,3977.51220703125,4630.0,4860.0,4630.0,4850.0,494657800,1,2,3
2022-03-01,BDMN.JK,2161.974609375,2410.0,2460.0,2370.0,2390.0,2552500,1,0,0
2022-02-25,BMRI.JK,3326.2314453125,3850.0,3875.0,3825.0,3862.5,163299800,1,1,1
2022-02-25,BBRI.JK,3908.786865234375,4550.0,4550.0,4410.0,4450.0,301346400,0,3,0
2022-02-25,BDMN.JK,2135.062255859375,2380.0,2390.0,2350.0,2360.0,2021000,1,0,0
2022-02-25,BBCA.JK,7532.54443359375,8050.0,8175.0,7925.0,7950.0,135899900,0,0,1
2022-02-24,BBRI.JK,3771.3349609375,4390.0,4470.0,4370.0,4470.0,217523600,0,1,0
2022-02-24,BDMN.JK,2117.120361328125,2360.0,2400.0,2350.0,2370.0,4142800,1,0,0
2022-02-24,BBCA.JK,7485.7587890625,8000.0,8150.0,7925.0,8125.0,124947700,0,0,1
2022-02-24,BMRI.JK,3326.2314453125,3850.0,3937.5,3825.0,3862.5,170297000,0,0,1
2022-02-23,BBRI.JK,3848.651611328125,4480.0,4520.0,4460.0,4520.0,160827800,0,0,1
2022-02-23,BMRI.JK,3401.827392578125,3937.5,3975.0,3912.5,3962.5,85991000,0,0,1
2022-02-23,BDMN.JK,2144.032958984375,2390.0,2420.0,2370.0,2390.0,3675700,1,0,0
2022-02-23,BBCA.JK,7532.54443359375,8050.0,8100.0,7875.0,7900.0,99240300,0,0,1
2022-02-22,BBRI.JK,3805.69775390625,4430.0,4470.0,4420.0,4440.0,109060900,0,1,0
2022-02-22,BDMN.JK,2144.032958984375,2390.0,2420.0,2380.0,2410.0,1802200,1,0,0
2022-02-22,BMRI.JK,3401.827392578125,3937.5,3950.0,3887.5,3912.5,69476600,0,0,1
2022-02-22,BBCA.JK,7392.1865234375,7900.0,7950.0,7850.0,7900.0,80095500,0,0,1
2022-02-21,BMRI.JK,3391.028076171875,3925.0,3962.5,3925.0,3925.0,31720800,0,0,1
2022-02-21,BDMN.JK,2170.945556640625,2420.0,2430.0,2380.0,2400.0,1483100,1,0,0
2022-02-21,BBRI.JK,3857.2421875,4490.0,4490.0,4440.0,4460.0,133717300,0,1,2
2022-02-21,BBCA.JK,7438.97265625,7950.0,7975.0,7900.0,7925.0,43821700,0,1,0
2022-02-18,BBRI.JK,3805.69775390625,4430.0,4440.0,4370.0,4400.0,127058000,0,0,1
2022-02-18,BBCA.JK,7415.57958984375,7925.0,7950.0,7850.0,7950.0,56813400,1,0,0
2022-02-18,BDMN.JK,2144.032958984375,2390.0,2430.0,2360.0,2430.0,5192300,1,0,0
2022-02-18,BMRI.JK,3391.028076171875,3925.0,3975.0,3875.0,3912.5,81303200,0,0,1
2022-02-17,BBRI.JK,3779.925537109375,4400.0,4410.0,4340.0,4390.0,118305100,0,0,1
2022-02-17,BMRI.JK,3391.028076171875,3925.0,3937.5,3837.5,3937.5,103038800,0,0,2
2022-02-17,BBCA.JK,7392.1865234375,7900.0,7925.0,7800.0,7850.0,48704600,1,0,0
2022-02-17,BDMN.JK,2170.945556640625,2420.0,2510.0,2410.0,2500.0,5823600,1,0,0
2022-02-16,BBCA.JK,7462.365234375,7975.0,7975.0,7825.0,7850.0,77055100,1,0,0
2022-02-16,BBRI.JK,3797.107177734375,4420.0,4470.0,4410.0,4470.0,89636300,0,0,1
2022-02-16,BMRI.JK,3391.028076171875,3925.0,3962.5,3875.0,3962.5,74785000,0,0,2
2022-02-16,BDMN.JK,2206.828857421875,2460.0,2540.0,2440.0,2450.0,6054800,1,0,0
2022-02-15,BBCA.JK,7368.79296875,7875.0,7875.0,7725.0,7750.0,55617000,0,0,1
2022-02-15,BMRI.JK,3412.626953125,3950.0,3950.0,3837.5,3900.0,67804400,0,0,2
2022-02-15,BBRI.JK,3805.69775390625,4430.0,4450.0,4390.0,4440.0,96658500,0,0,2
